DistanceToCenter,Total,Living,Kitchen,Repair,RoomsNumber,FurnitureExistence,FloorNumber,Year,NumberOfFloors,RoofType,BuildingType,OverlappingsType,MaterialWalls,PowerСlass,Chute,Playground,Sportsground,PowerSupply,ColdWaterSupply,HotWaterSupply,HeatSupply,GasSupply,WaterDisposal,FireSystem,Id,Adress,Region,City,District,Street,House,Latitude,Longitude,Cost
2857.73596,33,11,10,,1,False,10,,14,,,,,,False,False,False,,,,,,,False,51," Иваново,  Фрунзенский район, Воронина ул,5а",Ивановская область, Иваново, Фрунзенский, Воронина ,5а,56.971523,40.9709699,1492000
2857.73596,48,20,16,,1,False,11,,14,,,,,,False,False,False,,,,,,,False,52," Иваново,  Фрунзенский район, Воронина ул,5а",Ивановская область, Иваново, Фрунзенский, Воронина ,5а,56.971523,40.9709699,2064000
2857.73596,78,41,12,,3,False,10,,14,,,,,,False,False,False,,,,,,,False,53," Иваново,  Фрунзенский район, Воронина ул,5а",Ивановская область, Иваново, Фрунзенский, Воронина ,5а,56.971523,40.9709699,3331000
2857.73596,48,20,16,,1,False,8,,14,,,,,,False,False,False,,,,,,,False,54," Иваново,  Фрунзенский район, Воронина ул,5а",Ивановская область, Иваново, Фрунзенский, Воронина ,5а,56.971523,40.9709699,2164000
405.8881673,133,73,25,,3,False,8,,8,,,,,,False,False,False,,,,,,,False,55," Иваново,  Фрунзенский район, Зеленая ул,39",Ивановская область, Иваново, Фрунзенский, Зеленая ,39,56.9939806,40.9682539,6400000
2857.73596,50,20,17,,1,False,10,,14,,,,,,False,False,False,,,,,,,False,56," Иваново,  Фрунзенский район, Воронина ул,5",Ивановская область, Иваново, Фрунзенский, Воронина ,5,56.971523,40.9709699,2165000
2857.73596,48,20,17,,1,False,14,,14,,,,,,False,False,False,,,,,,,False,57," Иваново,  Фрунзенский район, Воронина ул,5",Ивановская область, Иваново, Фрунзенский, Воронина ,5,56.971523,40.9709699,2094000
5186.261669,51,22,11,,1,False,3,,18,,,,,,False,False,False,,,,,,,False,58," Иваново,  Ленинский район, Профессиональная ул,4",Ивановская область, Иваново, Ленинский, Профессиональная ,4,56.9508483,40.9802314,2200000
2857.73596,50,20,17,,1,False,10,,14,,,,,,False,False,False,,,,,,,False,59," Иваново,  Фрунзенский район, Воронина ул,5",Ивановская область, Иваново, Фрунзенский, Воронина ,5,56.971523,40.9709699,2165000
1323.855552,86,50,14,,2,False,2,2012,9,2,,3,5,,False,True,False,,,,,,,False,60," Иваново,  Фрунзенский район, Богдана Хмельницкого ул,44",Ивановская область, Иваново, Фрунзенский, Богдана Хмельницкого ,44,56.9861241,40.9634352,4500000
4124.171057,27,14,5,,1,False,1,,5,,,,,,False,False,False,,,,,,,False,61," Иваново,  Ленинский район, Строителей пр-кт,114",Ивановская область, Иваново, Ленинский, Строителей пр-кт,114,56.9674197,41.0118744,1260000
422.3267679,52,22,13,,1,False,1,,8,,,,,,False,False,False,,,,,,,False,62," Иваново,  Фрунзенский район, Зеленая ул,39,корп.2",Ивановская область, Иваново, Фрунзенский, Зеленая ,39,56.9939622,40.9677665,2100000
422.3267679,125,85,13,,3,False,8,,8,,,,,,False,False,False,,,,,,,False,63," Иваново,  Фрунзенский район, Зеленая ул,39,корп.2",Ивановская область, Иваново, Фрунзенский, Зеленая ,39,56.9939622,40.9677665,6400000
5164.777627,48,,,,1,False,1,,17,,,,,,False,False,False,,,,,,,False,64," Иваново,  Октябрьский район, Дюковская ул,27,корп.б",Ивановская область, Иваново, Октябрьский, Дюковская ,27,57.0353706,40.9229154,1750000
5164.777627,83,,,,3,False,11,,17,,,,,,False,False,False,,,,,,,False,65," Иваново,  Октябрьский район, Дюковская ул,27",Ивановская область, Иваново, Октябрьский, Дюковская ,27,57.0353706,40.9229154,2950000
1354.229982,51,22,11,,1,False,3,,18,,,,,,False,False,False,,,,,,,False,66," Иваново,  Ленинский район, Профсоюзная ул,4 /Серебряный Город",Ивановская область, Иваново, Ленинский, Профсоюзная ,4/СеребряныйГород,57.0031029,40.9909373,2200000
2857.73596,50,20,16,,1,False,10,,14,,,,,,False,False,False,,,,,,,False,67," Иваново,  Фрунзенский район, Воронина ул,5",Ивановская область, Иваново, Фрунзенский, Воронина ,5,56.971523,40.9709699,2165000
2857.73596,50,20,16,,1,False,14,,14,,,,,,False,False,False,,,,,,,False,68," Иваново,  Фрунзенский район, Воронина ул,5",Ивановская область, Иваново, Фрунзенский, Воронина ,5,56.971523,40.9709699,2064000
3667.133936,64,47,6,,3,False,2,1977,5,2,,3,4,,False,True,False,,,,,,,False,69," Иваново,  Октябрьский район, Степана Халтурина ул,6",Ивановская область, Иваново, Октябрьский, Степана Халтурина ,6,57.0291191,40.9864266,2750000
3792.192741,46,28,6,,2,False,5,1967,5,1,,3,5,,False,True,False,,,,,,,False,70," Иваново,  Советский район, Чайковского 2-я ул,4",Ивановская область, Иваново, Советский, Чайковского 2-я ,4,57.015961,41.023636,1400000
4011.365099,45,32,6,,2,False,5,,5,,,,,,False,False,False,,,,,,,False,71," Иваново,  Ленинский район, Строителей пр-кт,20",Ивановская область, Иваново, Ленинский, Строителей пр-кт,20,56.9624,40.988627,1700000
1905.535679,52,37,6,,3,False,5,,5,,,,,,False,False,False,,,,,,,False,72," Иваново,  Октябрьский район, Фридриха Энгельса пр-кт,117",Ивановская область, Иваново, Октябрьский, Фридриха Энгельса пр-кт,117,57.0123382,40.9860907,2550000
2221.509648,96,77,10,,3,False,5,,5,,,,,,False,False,False,,,,,,,False,73," Иваново,  Октябрьский район, Ленина пр-кт,102 /площадь Ленина, ТЦ Купеческий",Ивановская область, Иваново, Октябрьский, Ленина пр-кт,102/площадьЛенина,57.0171442,40.9698837,2200000
1969.133407,96,77,10,,5,False,5,,5,,,,,,False,False,False,,,,,,,False,74," Иваново,  Октябрьский район, Ленина пр-кт,102",Ивановская область, Иваново, Октябрьский, Ленина пр-кт,102,57.0148892,40.9706781,2200000
3460.606557,107,63,14,,3,False,10,,11,,,,,,False,False,False,,,,,,,False,75," Иваново,  Ленинский район, Московский мкр,2",Ивановская область, Иваново, Ленинский, Московский мкр,2,56.9685978,40.9937885,5200000
1870.069507,43,27,6,,2,False,1,1961,3,1,,1,5,,False,True,False,,,,,,,False,76," Иваново,  Фрунзенский район, Благова ул,27",Ивановская область, Иваново, Фрунзенский, Благова ,27,56.981156,40.9622323,1490000
5001.082329,42,16,12,,1,False,8,,9,,,,,,False,False,False,,,,,,,False,77," Иваново,  Октябрьский район, Революционная ул,20Б",Ивановская область, Иваново, Октябрьский, Революционная ,20Б,57.032801,40.9210328,2100000
1041.707559,41,27,6,,2,False,1,1967,5,1,,3,5,,False,True,False,,,,,,,False,78," Иваново,  Фрунзенский район, Кузнецова ул,55",Ивановская область, Иваново, Фрунзенский, Кузнецова ,55,57.002934,40.9578161,1550000
3626.208416,26,17,5,,1,False,2,,4,,,,,,False,False,False,,,,,,,False,79," Иваново,  Ленинский район, ",Ивановская область, Иваново, Ленинский, ,,56.9726955,41.0108145,960000
1794.642307,40,27,6,,2,False,5,,5,,,,,,False,False,False,,,,,,,False,80," Иваново,  Фрунзенский район, Герцена ул,17 /ИГЭУ, РИАТ, школа 39",Ивановская область, Иваново, Фрунзенский, Герцена ,17/ИГЭУ,57.001276,40.942754,1420000
2342.63403,60,42,6,,3,False,4,1980,12,2,,3,4,,False,True,False,,,,,,,False,81," Иваново,  Ленинский район, Лежневская ул,115",Ивановская область, Иваново, Ленинский, Лежневская ,115,56.976353,40.976748,2200000
