DistanceToCenter,Total,Living,Kitchen,Repair,RoomsNumber,FurnitureExistence,FloorNumber,Year,NumberOfFloors,RoofType,BuildingType,OverlappingsType,MaterialWalls,PowerСlass,Chute,Playground,Sportsground,PowerSupply,ColdWaterSupply,HotWaterSupply,HeatSupply,GasSupply,WaterDisposal,FireSystem,Id,Adress,Region,City,District,Street,House,Latitude,Longitude,Cost
4937.658637,75,38,15,,2,False,2,2015,19,2,,3,5,,True,True,False,,,,,,,False,1319," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2900000
4302.860132,83,50,12,,3,False,7,,9,,,,,,False,False,False,,,,,,,False,1320," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,2985000
4302.860132,69,41,12,,2,False,7,,9,,,,,,False,False,False,,,,,,,False,1321," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,2608000
4302.860132,40,19,11,,1,False,6,,9,,,,,,False,False,False,,,,,,,False,1322," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,1634000
4302.860132,72,36,12,,2,False,3,,9,,,,,,False,False,False,,,,,,,False,1323," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,2730000
4302.860132,88,53,14,,3,False,8,,9,,,,,,False,False,False,,,,,,,False,1324," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,3166000
4302.860132,88,50,13,,3,False,9,,9,,,,,,False,False,False,,,,,,,False,1325," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,3155000
4302.860132,72,42,15,,2,False,9,,9,,,,,,False,False,False,,,,,,,False,1326," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,2735000
4302.860132,73,42,15,,2,False,6,,9,,,,,,False,False,False,,,,,,,False,1327," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,2743000
4302.860132,44,20,13,,1,False,9,,9,,,,,,False,False,False,,,,,,,False,1328," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,1782000
4302.860132,69,40,13,,2,False,2,,9,,,,,,False,False,False,,,,,,,False,1329," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,2625000
4302.860132,43,20,13,,1,False,1,,9,,,,,,False,False,False,,,,,,,False,1330," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,1614000
4302.860132,51,22,19,,1,False,1,,9,,,,,,False,False,False,,,,,,,False,1331," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,1950000
4302.860132,72,42,15,,2,False,3,,9,,,,,,False,False,False,,,,,,,False,1332," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,2730000
4302.860132,68,40,10,,2,False,5,,9,,,,,,False,False,False,,,,,,,False,1333," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,2572000
4302.860132,88,53,13,,3,False,8,,9,,,,,,False,False,False,,,,,,,False,1334," Иваново,  Октябрьский район, Авдотьинский 3-й пер",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,,57.0268556,40.9258377,3162000
4937.658637,160,128,21,,3,False,1,2015,16,2,,3,5,,True,True,False,,,,,,,False,1335," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,3639000
2677.653058,69,35,12,,2,False,9,,17,,,,,,False,False,False,,,,,,,False,1336," Иваново,  Ленинский район, Полевая 2-я пл",Ивановская область, Иваново, Ленинский, Полевая 2-я пл,,56.9737395,40.9811957,2420000
2677.653058,68,36,12,,2,False,9,,17,,,,,,False,False,False,,,,,,,False,1337," Иваново,  Ленинский район, Полевая 2-я пл",Ивановская область, Иваново, Ленинский, Полевая 2-я пл,,56.9737395,40.9811957,2390000
2483.162809,54,33,9,,2,False,6,1991,9,2,,3,4,,True,True,False,,,,,,,False,1338," Иваново,  Фрунзенский район, Кузнецова ул,124",Ивановская область, Иваново, Фрунзенский, Кузнецова ,124,57.0113834,40.9397714,1950000
4937.658637,46,22,10,,1,False,2,2015,19,2,,3,5,,True,True,False,,,,,,,False,1339," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,3,2015,19,2,,3,5,,True,True,False,,,,,,,False,1340," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,4,2015,19,2,,3,5,,True,True,False,,,,,,,False,1341," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,5,2015,19,2,,3,5,,True,True,False,,,,,,,False,1342," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,6,2015,19,2,,3,5,,True,True,False,,,,,,,False,1343," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,7,2015,19,2,,3,5,,True,True,False,,,,,,,False,1344," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,8,2015,19,2,,3,5,,True,True,False,,,,,,,False,1345," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,9,2015,19,2,,3,5,,True,True,False,,,,,,,False,1346," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,10,2015,19,2,,3,5,,True,True,False,,,,,,,False,1347," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,11,2015,19,2,,3,5,,True,True,False,,,,,,,False,1348," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,12,2015,19,2,,3,5,,True,True,False,,,,,,,False,1349," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,13,2015,19,2,,3,5,,True,True,False,,,,,,,False,1350," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,14,2015,19,2,,3,5,,True,True,False,,,,,,,False,1351," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,74,38,15,,2,False,2,2015,19,2,,3,5,,True,True,False,,,,,,,False,1352," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,80,55,16,,2,False,2,2015,19,2,,3,5,,True,True,False,,,,,,,False,1353," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,3,2015,19,2,,3,5,,True,True,False,,,,,,,False,1354," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,80,55,16,,2,False,3,2015,19,2,,3,5,,True,True,False,,,,,,,False,1355," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,55,16,,2,False,4,2015,19,2,,3,5,,True,True,False,,,,,,,False,1356," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,5,2015,19,2,,3,5,,True,True,False,,,,,,,False,1357," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,6,2015,19,2,,3,5,,True,True,False,,,,,,,False,1358," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,7,2015,19,2,,3,5,,True,True,False,,,,,,,False,1359," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,8,2015,19,2,,3,5,,True,True,False,,,,,,,False,1360," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,9,2015,19,2,,3,5,,True,True,False,,,,,,,False,1361," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,10,2015,19,2,,3,5,,True,True,False,,,,,,,False,1362," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,11,2015,19,2,,3,5,,True,True,False,,,,,,,False,1363," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,12,2015,19,2,,3,5,,True,True,False,,,,,,,False,1364," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,13,2015,19,2,,3,5,,True,True,False,,,,,,,False,1365," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,14,2015,19,2,,3,5,,True,True,False,,,,,,,False,1366," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
1354.229982,73,22,32,,2,False,8,,18,,,,,,False,False,False,,,,,,,False,1367," Иваново,  Ленинский район, Профсоюзная ул,4",Ивановская область, Иваново, Ленинский, Профсоюзная ,4,57.0031029,40.9909373,3300000
4937.658637,46,22,10,,1,False,3,2015,19,2,,3,5,,True,True,False,,,,,,,False,1368," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,4,2015,19,2,,3,5,,True,True,False,,,,,,,False,1369," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,5,2015,19,2,,3,5,,True,True,False,,,,,,,False,1370," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,6,2015,19,2,,3,5,,True,True,False,,,,,,,False,1371," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,7,2015,19,2,,3,5,,True,True,False,,,,,,,False,1372," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,8,2015,19,2,,3,5,,True,True,False,,,,,,,False,1373," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,10,2015,19,2,,3,5,,True,True,False,,,,,,,False,1374," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,11,2015,19,2,,3,5,,True,True,False,,,,,,,False,1375," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,12,2015,19,2,,3,5,,True,True,False,,,,,,,False,1376," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,13,2015,19,2,,3,5,,True,True,False,,,,,,,False,1377," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,46,22,10,,1,False,14,2015,19,2,,3,5,,True,True,False,,,,,,,False,1378," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
4937.658637,74,38,15,,2,False,5,2015,19,2,,3,5,,True,True,False,,,,,,,False,1379," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,6,2015,19,2,,3,5,,True,True,False,,,,,,,False,1380," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,7,2015,19,2,,3,5,,True,True,False,,,,,,,False,1381," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4937.658637,74,38,15,,2,False,8,2015,19,2,,3,5,,True,True,False,,,,,,,False,1382," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
4647.248829,74,38,15,,2,False,9,,19,,,,,,False,False,False,,,,,,,False,1383," Иваново,  Октябрьский район, Авдотьинская ул",Ивановская область, Иваново, Октябрьский, Авдотьинская ул,,57.0281435,40.9199001,2735000
4937.658637,74,38,15,,2,False,10,2015,19,2,,3,5,,True,True,False,,,,,,,False,1384," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,2735000
2677.653058,44,28,12,,1,False,9,,17,,,,,,False,False,False,,,,,,,False,1385," Иваново,  Ленинский район, Полевая 2-я ул",Ивановская область, Иваново, Ленинский, Полевая 2-я ул,,56.9737395,40.9811957,1663000
2677.653058,76,45,10,,3,False,13,,17,,,,,,False,False,False,,,,,,,False,1386," Иваново,  Ленинский район, Полевая 2-я ул",Ивановская область, Иваново, Ленинский, Полевая 2-я ул,,56.9737395,40.9811957,2836000
2677.653058,62,45,12,,2,False,16,,17,,,,,,False,False,False,,,,,,,False,1387," Иваново,  Ленинский район, Полевая 2-я ул",Ивановская область, Иваново, Ленинский, Полевая 2-я ул,,56.9737395,40.9811957,2536000
6147.827495,39,19,11,,1,False,1,,5,,,,,,False,False,False,,,,,,,False,1388," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1418000
6147.827495,33,14,9,,1,False,1,,5,,,,,,False,False,False,,,,,,,False,1389," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1202000
6147.827495,54,28,12,,2,False,1,,5,,,,,,False,False,False,,,,,,,False,1390," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1958000
6147.827495,48,25,10,,2,False,1,,5,,,,,,False,False,False,,,,,,,False,1391," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1750000
6147.827495,46,26,9,,2,False,1,,5,,,,,,False,False,False,,,,,,,False,1392," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1660000
6147.827495,65,35,11,,2,False,1,,5,,,,,,False,False,False,,,,,,,False,1393," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,2362000
6147.827495,41,20,11,,1,False,1,,5,,,,,,False,False,False,,,,,,,False,1394," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1508000
4937.658637,211,69,19,,3,False,1,2015,19,2,,3,5,,True,True,False,,,,,,,False,1395," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,3952000
4310.618158,72,42,15,,2,False,9,,9,,,,,,False,False,False,,,,,,,False,1396," Иваново,  Октябрьский район, Авдотьинский 3-й пер,1",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,1,57.0261318,40.9241017,2755000
4310.618158,83,50,12,,3,False,5,,9,,,,,,False,False,False,,,,,,,False,1397," Иваново,  Октябрьский район, Авдотьинский 3-й пер,1",Ивановская область, Иваново, Октябрьский, Авдотьинский 3-й пер,1,57.0261318,40.9241017,3005000
6147.827495,38,19,10,,1,False,2,,5,,,,,,False,False,False,,,,,,,False,1398," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1471000
6147.827495,32,14,8,,1,False,2,,5,,,,,,False,False,False,,,,,,,False,1399," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1243000
6147.827495,37,14,11,,1,False,2,,5,,,,,,False,False,False,,,,,,,False,1400," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1414000
6147.827495,35,16,9,,1,False,2,,5,,,,,,False,False,False,,,,,,,False,1401," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1330000
6147.827495,35,16,9,,1,False,2,,5,,,,,,False,False,False,,,,,,,False,1402," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1353000
6147.827495,32,12,9,,1,False,2,,5,,,,,,False,False,False,,,,,,,False,1403," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1250000
6147.827495,37,13,11,,1,False,2,,5,,,,,,False,False,False,,,,,,,False,1404," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1406000
6147.827495,25,9,8,,1,False,2,,5,,,,,,False,False,False,,,,,,,False,1405," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,977000
6147.827495,45,26,8,,2,False,2,,5,,,,,,False,False,False,,,,,,,False,1406," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1725000
6147.827495,65,35,11,,2,False,2,,5,,,,,,False,False,False,,,,,,,False,1407," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,2470000
6147.827495,41,20,10,,1,False,2,,5,,,,,,False,False,False,,,,,,,False,1408," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1566000
6147.827495,38,19,10,,1,False,3,,5,,,,,,False,False,False,,,,,,,False,1409," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1471000
6147.827495,43,23,8,,2,False,3,,5,,,,,,False,False,False,,,,,,,False,1410," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1661000
6147.827495,36,14,10,,1,False,3,,5,,,,,,False,False,False,,,,,,,False,1411," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1402000
6147.827495,32,12,9,,1,False,3,,5,,,,,,False,False,False,,,,,,,False,1412," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1239000
6147.827495,36,13,10,,1,False,3,,5,,,,,,False,False,False,,,,,,,False,1413," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1387000
6147.827495,65,35,11,,2,False,3,,5,,,,,,False,False,False,,,,,,,False,1414," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,2470000
6147.827495,38,19,10,,1,False,4,,5,,,,,,False,False,False,,,,,,,False,1415," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1471000
6147.827495,36,14,10,,1,False,4,,5,,,,,,False,False,False,,,,,,,False,1416," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1398000
6147.827495,35,16,9,,1,False,4,,5,,,,,,False,False,False,,,,,,,False,1417," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1334000
6147.827495,36,13,10,,1,False,4,,5,,,,,,False,False,False,,,,,,,False,1418," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1387000
6147.827495,38,16,10,,1,False,4,,5,,,,,,False,False,False,,,,,,,False,1419," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1448000
6147.827495,25,9,8,,1,False,4,,5,,,,,,False,False,False,,,,,,,False,1420," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,977000
6147.827495,38,19,10,,1,False,5,,5,,,,,,False,False,False,,,,,,,False,1421," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1471000
6147.827495,47,27,9,,2,False,5,,5,,,,,,False,False,False,,,,,,,False,1422," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1805000
6147.827495,33,16,8,,1,False,5,,5,,,,,,False,False,False,,,,,,,False,1423," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1262000
6147.827495,36,14,10,,1,False,5,,5,,,,,,False,False,False,,,,,,,False,1424," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1398000
6147.827495,33,15,9,,1,False,5,,5,,,,,,False,False,False,,,,,,,False,1425," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1258000
6147.827495,36,14,10,,1,False,5,,5,,,,,,False,False,False,,,,,,,False,1426," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1402000
6147.827495,35,16,9,,1,False,5,,5,,,,,,False,False,False,,,,,,,False,1427," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1334000
6147.827495,32,12,9,,1,False,5,,5,,,,,,False,False,False,,,,,,,False,1428," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1239000
6147.827495,36,13,10,,1,False,5,,5,,,,,,False,False,False,,,,,,,False,1429," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1387000
6147.827495,38,16,10,,1,False,5,,5,,,,,,False,False,False,,,,,,,False,1430," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1448000
6147.827495,25,9,8,,1,False,5,,5,,,,,,False,False,False,,,,,,,False,1431," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,977000
6147.827495,45,26,8,,2,False,5,,5,,,,,,False,False,False,,,,,,,False,1432," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1725000
6147.827495,65,35,11,,2,False,5,,5,,,,,,False,False,False,,,,,,,False,1433," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,2470000
6147.827495,41,20,10,,1,False,5,,5,,,,,,False,False,False,,,,,,,False,1434," Иваново,  Ленинский район, Кохомское ш,49",Ивановская область, Иваново, Ленинский, Кохомское ш,49,56.9563534,41.039642,1566000
5164.777627,48,21,9,,1,False,1,,17,,,,,,False,False,False,,,,,,,False,1435," Иваново,  Октябрьский район, Дюковская ул,27а",Ивановская область, Иваново, Октябрьский, Дюковская ,27а,57.0353706,40.9229154,1750000
5052.917435,49,19,14,,1,False,2,,17,,,,,,False,False,False,,,,,,,False,1436," Иваново,  Октябрьский район, Дюковская ул",Ивановская область, Иваново, Октябрьский, Дюковская ул,,57.0349765,40.925136,1770000
