totalArea,floorNumber,floorsTotal,wallsMaterial,latitude,longitude,price
28,2,18,,56.973586,40.9742886,992000
30,1,5,,56.9563534,41.039642,993000
32,3,3,,56.9851478,41.0329352,995000
28,5,18,,56.9712298,41.0268471,995000
30,5,5,5,57.007612,40.949318,999000
46,2,2,5,57.006529,40.994697,1000000
34,2,2,5,57.0259251,41.0111984,1000000
30,5,5,,57.0077986,40.9480101,1000000
34,1,2,,57.0151303,40.9159265,1000000
30,1,2,,57.0299794,40.9205874,1000000
35,2,2,,57.0332093,41.0003373,1000000
35,1,2,,57.0148318,41.0138069,1000000
35,1,2,,57.0154321,41.0137076,1000000
31,5,5,5,57.007612,40.949318,1020000
37,2,2,1,57.0145366,40.9122201,1020000
31,5,5,,57.0392589,40.9597509,1020000
28,2,18,,56.9712298,41.0268471,1024000
24,1,8,,57.001397,40.935546,1025000
25,1,8,,57.001397,40.935546,1025000
30,3,4,5,57.035909,40.988028,1025000
21,1,5,5,57.017158,40.9604854,1030000
22,1,5,5,57.017158,40.9604854,1030000
48,2,2,,57.0033112,40.8855509,1030000
31,5,5,,57.027862,40.9578421,1030000
36,5,5,,57.0446483,40.9444397,1030000
27,3,3,,56.9726955,41.0108145,1030000
46,1,2,,57.0349765,40.925136,1040000
32,3,5,,57.0366199,40.9830339,1040000
26,5,5,,56.9536959,41.0432389,1044000
28,2,18,,56.9712298,41.0268471,1049000
22,3,5,5,56.972212,41.052969,1050000
28,1,3,5,57.020274,40.952346,1050000
35,1,2,,56.987073,41.015616,1050000
45,2,2,5,57.0172287,40.9183859,1050000
34,1,2,5,57.0065941,40.9946887,1050000
21,1,5,,57.008448,40.9929209,1050000
31,1,5,5,56.975743,40.969545,1050000
22,5,5,5,57.0199523,40.9587727,1050000
24,1,5,,56.9577776,41.0206699,1050000
15,3,4,,56.976655,40.9659836,1050000
31,4,5,,56.9664245,41.0440298,1050000
30,2,3,,57.0166158,40.9615807,1050000
21,5,5,,56.9733242,40.9637677,1050000
24,4,5,,56.9577776,41.0206699,1050000
29,4,5,,56.9563534,41.039642,1052000
25,5,5,,56.9563534,41.039642,1054000
24,5,5,,57.0166158,40.9615807,1059000
26,2,3,5,57.020274,40.952346,1060000
32,2,2,,56.968058,40.965846,1070000
29,2,5,,56.9563534,41.039642,1076000
36,2,2,5,57.00076,40.9686499,1080000
31,8,9,5,56.965764,40.9647801,1080000
32,3,3,,56.9767308,40.9652528,1090000
21,5,5,,57.020022,40.964068,1090000
30,4,5,4,56.9737707,41.0532697,1090000
34,5,5,,57.0003335,40.9588266,1100000
51,1,4,5,57.0027338,40.8846511,1100000
26,3,3,,56.9726955,41.0108145,1100000
30,3,3,5,56.9802412,40.9590938,1100000
25,2,3,5,57.020274,40.952346,1100000
30,3,3,,57.0299794,40.9205874,1100000
31,3,3,,56.9816251,40.9606934,1100000
53,1,2,,57.02039,41.0088819,1100000
29,5,5,,56.966892,40.9611651,1100000
31,4,5,,56.9840792,41.0128683,1100000
42,8,17,,56.9550749,40.9800691,1100000
30,4,5,4,56.9737707,41.0532697,1100000
36,3,4,,57.0032358,40.885603,1100000
31,1,5,4,56.9583895,41.017615,1100000
34,4,5,5,56.971486,41.0054469,1100000
24,5,5,,57.008448,40.9929209,1100000
29,4,5,,56.9563534,41.039642,1100000
29,4,5,,56.9563534,41.039642,1102000
29,5,5,,56.9563534,41.039642,1102000
32,10,18,,56.9712298,41.0268471,1110000
32,12,18,,56.9712298,41.0268471,1110000
32,14,18,,56.9712298,41.0268471,1111000
32,10,18,,56.9712298,41.0268471,1112000
26,3,5,5,56.989298,40.996527,1120000
31,5,5,,56.969984,41.01224,1120000
26,13,17,,56.971823,40.9763411,1120000
26,13,17,,56.971823,40.9763411,1120000
26,13,17,,56.971823,40.9763411,1120000
28,13,17,,56.9737395,40.9811957,1120000
26,13,17,,56.9737395,40.9811957,1120000
25,10,14,,56.971523,40.9709699,1125000
25,10,14,,56.971523,40.9709699,1125000
25,9,14,,56.971523,40.9709699,1125000
32,14,18,,56.9712298,41.0268471,1127000
32,18,18,,56.967091,41.0208024,1127000
32,2,18,,56.967091,41.0208024,1127000
32,18,18,,56.967091,41.0208024,1127000
27,1,3,5,56.9779656,40.9649649,1130000
27,2,5,5,56.970941,41.0062721,1130000
31,3,5,,56.969857,40.96793,1130000
31,4,5,4,56.9678836,40.9835751,1130000
30,5,5,,56.96567,41.002593,1140000
26,13,17,,56.9737395,40.9811957,1140000
32,14,18,,56.971931,41.012191,1143000
32,12,18,,56.971931,41.012191,1143000
32,14,18,,56.9712298,41.0268471,1143000
32,12,18,,56.9712298,41.0268471,1143000
32,2,18,,56.973586,40.9742886,1143000
28,10,18,,56.9712298,41.0268471,1148000
22,3,5,,56.969316,40.9791689,1150000
31,9,9,5,56.965764,40.9647801,1150000
28,1,5,4,57.037303,40.982132,1150000
30,2,2,5,56.9936112,41.0133653,1150000
33,5,5,,57.04545,40.9473091,1150000
31,5,5,,56.989267,40.9669326,1150000
48,2,2,7,57.003303,40.9546581,1150000
32,3,5,4,57.0071668,40.8862371,1150000
30,3,4,,56.9548268,41.1001021,1150000
35,3,18,,56.972483,41.023227,1150000
27,1,5,,56.9726955,41.0108145,1150000
38,1,2,,57.0351669,40.9694261,1150000
21,6,9,,56.964946,40.9666983,1150000
40,2,2,,57.0366199,40.9830339,1150000
21,4,9,,56.9866422,40.9648638,1150000
21,4,5,,57.0166158,40.9615807,1150000
30,3,5,,56.9985225,41.0275604,1150000
31,1,5,,57.0031743,40.9390652,1150000
32,2,2,7,57.001003,40.953063,1150000
32,2,5,4,57.021334,41.017311,1150000
41,1,2,5,56.987272,41.033933,1150000
37,2,3,5,56.97391,41.049236,1150000
29,3,3,,56.9726955,41.0108145,1150000
28,1,5,,57.027862,40.9578421,1150000
24,11,17,,56.9737395,40.9811957,1155000
30,2,2,5,57.039877,40.948377,1160000
26,13,17,,56.9752859,40.978288,1170000
36,2,2,,56.9911049,40.9393216,1170000
27,11,17,,56.9790434,40.9818517,1170000
26,13,17,,56.9752859,40.978288,1170000
32,1,5,4,56.973905,41.045419,1170000
32,4,5,,56.954602,40.9958208,1170000
25,1,8,,57.001397,40.935546,1170000
25,1,8,,57.001397,40.935546,1170000
28,1,3,,56.996018,41.0552408,1170000
35,5,18,,56.966161,41.0253887,1176000
32,5,5,5,57.002934,40.9578161,1180000
21,8,9,,56.96561,40.9635601,1180000
47,2,2,,56.9866422,40.9648638,1180000
22,1,5,5,56.969316,40.9791689,1180000
31,1,2,,56.968823,40.96605,1180000
26,7,17,,56.9737395,40.9811957,1180000
21,3,5,,56.9752859,40.978288,1180000
29,1,3,,56.9726955,41.0108145,1190000
31,1,5,4,56.961149,41.00608,1190000
43,1,2,5,57.036982,40.947323,1190000
30,3,5,,56.973712,40.9685939,1190000
30,1,5,,57.0181851,40.952772,1190000
39,2,2,,57.038947,40.964153,1190000
54,2,2,5,57.003151,41.021904,1190000
32,2,5,,56.9563534,41.039642,1193000
28,6,8,,57.001397,40.935546,1195000
31,5,5,,56.9563534,41.039642,1197000
25,4,8,,57.001397,40.935546,1199000
25,1,8,,57.001397,40.935546,1199000
28,5,8,,57.001397,40.935546,1199000
28,4,8,,57.001397,40.935546,1199000
25,2,8,,57.001397,40.935546,1199000
25,3,8,,57.001397,40.935546,1199000
25,4,8,,56.9799489,41.0431655,1199000
25,6,8,,57.001397,40.935546,1199000
25,7,8,,57.001397,40.935546,1199000
25,8,8,,57.001397,40.935546,1199000
12,3,5,,56.9815689,40.968115,1200000
35,5,5,,57.0446483,40.9444397,1200000
30,5,5,5,57.0218107,41.0147293,1200000
29,1,3,,56.9908674,40.9306046,1200000
36,3,5,,56.9563534,41.039642,1200000
31,2,2,,56.978551,40.9623192,1200000
31,2,5,,56.9996062,40.9295462,1200000
37,1,2,,56.996018,41.0552408,1200000
31,3,3,5,56.9779656,40.9649649,1200000
31,4,5,5,56.989296,41.0247079,1200000
42,2,2,,56.9866422,40.9648638,1200000
31,5,5,,57.0077986,40.9480101,1200000
38,2,2,5,57.02318,41.013589,1200000
37,1,5,5,57.0028214,40.8839657,1200000
32,1,5,4,56.975293,41.0461669,1200000
41,2,2,,57.0415099,40.9678337,1200000
30,4,5,5,56.972451,40.970123,1200000
33,1,5,,56.9633693,40.9940312,1200000
36,1,2,,56.989478,40.9285089,1200000
43,1,4,,56.983145,41.017104,1200000
31,3,4,,57.0227634,40.9568132,1200000
34,5,5,5,56.983895,40.999956,1200000
31,1,5,4,56.961149,41.00608,1200000
32,2,4,,57.022779,40.9571613,1200000
29,8,9,,56.976655,40.9659836,1200000
37,2,2,,56.9461282,40.9636473,1200000
33,1,5,,56.9563534,41.039642,1202000
33,1,5,,56.9563534,41.039642,1202000
36,18,18,,56.966161,41.0253887,1210000
34,10,20,,57.0353706,40.9229154,1215000
71,1,2,1,57.001543,40.9293539,1220000
32,5,5,5,57.0218107,41.0147293,1220000
26,2,3,,56.9908674,40.9306046,1220000
25,2,8,,57.001397,40.935546,1227000
25,3,8,,57.001397,40.935546,1227000
25,4,8,,57.001397,40.935546,1227000
25,6,8,,57.001397,40.935546,1227000
25,7,8,,57.001397,40.935546,1227000
25,8,8,,57.001397,40.935546,1227000
25,6,8,,57.0019052,40.9305844,1227000
31,4,5,,56.973763,40.9720249,1230000
32,5,5,5,57.0218107,41.0147293,1230000
32,1,2,,56.968954,40.9673221,1230000
31,5,5,,56.9642521,40.9850579,1230000
31,4,4,,57.0204414,40.9599039,1230000
47,2,2,5,56.981784,40.9551359,1230000
35,11,18,,56.9725898,41.0262492,1230000
36,6,18,,56.9712298,41.0268471,1230000
26,1,2,,56.99622,40.9892899,1230000
29,1,5,,56.989714,40.9330589,1230000
30,4,5,,56.956711,40.9866959,1230000
31,3,5,5,57.0221552,40.9564737,1230000
31,1,5,,56.961149,41.00608,1232000
32,3,5,,56.9563534,41.039642,1239000
33,5,5,,56.9563534,41.039642,1239000
32,3,5,,56.9563534,41.039642,1239000
32,5,5,,56.9563534,41.039642,1239000
34,3,5,1,57.0135197,40.9791383,1240000
34,1,2,5,57.012905,40.938583,1240000
30,2,3,5,56.9709569,40.9634109,1240000
31,2,5,,56.9683416,41.0125077,1240000
32,2,5,,56.9602211,41.0086945,1240000
29,5,17,,56.9741278,41.0033017,1241000
29,8,17,,56.9741278,41.0033017,1241000
29,8,17,,56.9741278,41.0033017,1241000
29,6,14,,56.971523,40.9709699,1243000
29,6,14,,56.971523,40.9709699,1243000
33,2,5,,56.9563534,41.039642,1243000
32,2,5,,56.9563534,41.039642,1243000
31,2,8,,57.001397,40.935546,1247000
31,5,8,,57.001397,40.935546,1247000
31,4,8,,57.001397,40.935546,1248000
31,2,8,,57.001397,40.935546,1248000
31,3,8,,57.001397,40.935546,1248000
31,4,8,,57.001397,40.935546,1248000
31,5,8,,57.001397,40.935546,1248000
31,6,8,,57.001397,40.935546,1248000
33,1,5,5,57.014656,41.025598,1250000
29,2,5,,56.9540024,41.0989979,1250000
28,3,5,5,56.970941,41.0062721,1250000
50,3,5,,56.9544861,41.1000982,1250000
66,1,2,,56.9795083,41.0345739,1250000
54,2,2,,57.0197758,41.0160956,1250000
30,5,5,5,56.989296,41.0247079,1250000
31,1,5,,56.9683416,41.0125077,1250000
40,4,4,,56.995779,41.0040209,1250000
33,2,5,,56.9563534,41.039642,1250000
32,2,5,,56.9563534,41.039642,1250000
25,1,3,5,56.9778642,40.9658927,1250000
30,5,5,,56.961218,40.998469,1250000
47,4,5,6,57.0076021,40.8842307,1250000
42,1,10,,56.9726955,41.0108145,1250000
30,2,5,,56.9533706,41.1005469,1250000
30,1,5,,57.0031743,40.9390652,1250000
27,2,3,,56.9908674,40.9306046,1250000
32,5,5,5,56.9698349,41.0052595,1250000
31,1,5,,57.0246944,40.9626377,1250000
31,5,5,,56.9807732,40.9678354,1250000
31,3,4,,57.027862,40.9578421,1250000
26,1,5,,57.0050671,40.9766453,1250000
32,4,5,4,56.961149,41.00608,1250000
29,5,5,,56.9710473,41.0077853,1250000
44,5,5,,56.984895,41.025411,1250000
38,2,3,5,57.029579,40.978195,1250000
35,2,2,,56.999405,40.9516079,1250000
42,5,5,,56.968332,40.969439,1250000
54,2,2,1,57.027827,40.984979,1250000
33,2,3,,57.0178089,41.01931,1250000
32,4,4,,56.9744,40.9744806,1250000
31,2,5,5,56.970941,41.0062721,1250000
32,2,5,5,56.974482,40.964591,1250000
42,1,2,5,56.987272,41.033933,1250000
30,1,5,,56.9689181,41.0130136,1250000
39,5,5,,56.9544861,41.1000982,1250000
32,1,5,,56.9563534,41.039642,1250000
36,2,5,,56.9657079,41.0027706,1250000
30,5,5,,56.9590746,40.9984915,1250000
32,1,5,,56.9563534,41.039642,1250000
35,18,18,,56.967091,41.0208024,1257000
34,2,5,,56.9563534,41.039642,1258000
33,3,5,,56.9563534,41.039642,1258000
34,4,5,,56.9563534,41.039642,1258000
33,5,5,,56.9563534,41.039642,1258000
33,5,5,,56.9563534,41.039642,1258000
27,1,9,,56.9746724,41.0074792,1258000
27,1,5,,56.9674197,41.0118744,1260000
27,1,5,,56.9674197,41.0118744,1260000
33,5,5,,56.9865821,41.0340285,1260000
73,1,2,,56.9707095,41.0438379,1260000
30,3,5,,56.976655,40.9659836,1260000
37,1,3,,56.9563534,41.039642,1260000
34,2,5,,56.9563534,41.039642,1262000
33,3,5,,56.9563534,41.039642,1262000
33,4,5,,56.9563534,41.039642,1262000
33,5,5,,56.9563534,41.039642,1262000
33,5,5,,56.9563534,41.039642,1262000
28,2,9,,56.9746724,41.0074792,1266000
28,3,9,,56.9746724,41.0074792,1266000
28,5,9,,56.9746724,41.0074792,1266000
28,6,9,,56.9746724,41.0074792,1266000
28,7,9,,56.9746724,41.0074792,1266000
28,8,9,,56.9746724,41.0074792,1266000
28,9,9,,56.9746724,41.0074792,1266000
37,1,3,5,57.0082774,40.9573044,1270000
36,5,5,5,57.046769,40.9402149,1270000
30,2,5,5,57.006146,40.9788479,1270000
29,3,5,,56.9563534,41.039642,1270000
35,2,18,,56.973586,40.9742886,1271000
35,2,18,,56.973586,40.9742886,1271000
35,3,18,,56.973586,40.9742886,1271000
35,13,18,,56.967091,41.0208024,1271000
35,14,18,,56.967091,41.0208024,1271000
35,16,18,,56.973586,40.9742886,1271000
35,17,18,,56.973586,40.9742886,1271000
35,18,18,,56.973586,40.9742886,1271000
36,15,18,,56.967091,41.0208024,1272000
36,17,18,,56.967091,41.0208024,1272000
36,18,18,,56.967091,41.0208024,1272000
36,2,18,,56.967091,41.0208024,1272000
36,10,18,,56.967091,41.0208024,1272000
36,13,18,,56.967091,41.0208024,1272000
36,14,18,,56.967091,41.0208024,1272000
36,15,18,,56.967091,41.0208024,1272000
36,18,18,,56.967091,41.0208024,1272000
39,5,9,,56.987322,41.0283499,1275000
30,1,5,,57.0225675,40.9607247,1280000
32,1,5,4,56.9655537,41.0141204,1280000
31,3,5,,56.972107,41.0514929,1280000
25,1,5,,57.0078556,40.9896731,1280000
31,2,5,4,57.024042,40.9600711,1280000
32,4,5,,56.970107,41.0139273,1280000
31,4,5,5,56.982837,40.9654049,1280000
40,4,5,,56.9544861,41.1000982,1280000
38,1,5,,56.9563534,41.039642,1280000
28,4,9,,57.001397,40.935546,1280000
31,5,5,,57.0095178,40.9723018,1280000
30,1,5,,56.96424,40.9994641,1280000
33,1,5,,56.9563534,41.039642,1283000
25,2,8,,57.001397,40.935546,1284000
48,6,8,,57.001397,40.935546,1284000
28,8,8,5,57.002191,40.936499,1284000
33,2,33,,56.9536959,41.0432389,1284000
32,2,5,,56.9536959,41.0432389,1284000
32,5,5,,56.985324,41.029822,1285000
31,3,4,,56.98171,40.966586,1290000
32,2,4,5,57.0327655,40.9692979,1290000
36,8,18,,56.9712298,41.0268471,1290000
33,5,5,4,56.988214,41.0349579,1290000
56,1,2,5,57.000905,40.927694,1290000
31,1,5,,56.959466,40.999165,1290000
30,1,5,,57.0089214,40.989258,1290000
30,4,5,,56.966821,40.962173,1290000
31,5,5,,56.962801,40.987902,1290000
36,2,18,,56.973586,40.9742886,1290000
